Course,Field,studylevel,AreaofInterest,C_education,Grade,Skills,Age
 Bachelor of Technology (B.Tech) Plastic & Polymer Engineering,Plastic & Polymer Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Petroleum Refinning & Petrochemicals Engineering,Petroleum Refinning & Petrochemicals Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Mechanical & Automation Engineering,Mechanical & Automation Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Genetic Engineering,Genetic Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial engineering & Management,Industrial engineering & Management,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Tool engineering,Tool engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronic Instrumentation & Control,Electronic Instrumentation & Control,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Polymer engineering, Polymer engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Information Security,Information Security,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Power Engineering,Power Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial Biotechnology,Industrial Biotechnology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Avionics Engineering,Avionics Engineering,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Food Engineering,Food Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Automotive Design Engineering,Automotive Design Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Ceramics & Cement Technology,Ceramics & Cement Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Oil Technology,Oil Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Petrochemical Technology,Petrochemical Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Geo- Informatics Engineering,Geo- Informatics Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Telecommunication Engineering,Telecommunication Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Naval Architecture & Ship Building,Naval Architecture & Ship Building,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Manufacturing Technology,Manufacturing Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Thermal Engineering,Thermal Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Power System Engineering,Power System Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Communication Engineering,Communication Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Engineering Science,Engineering Science,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Mineral Engineering,Mineral Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Plastic Technology',Plastic Technology',Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial Automation,Industrial Automation,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech)Agriculture Information Technology,Agriculture Information Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Infrastucture Engineering,Infrastucture Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Poultry Production Technology,Poultry Production Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Food Science & Technology,Food Science & Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Polymer Science & Technology,Polymer Science & Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Plastic Engineering,Plastic Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Horticulture,Horticulture,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Naval Architecture & Ocean Engineering,Naval Architecture & Ocean Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics & NanoTechnology,Electronics & NanoTechnology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Footware Technology,Footware Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Petroleum Engineering & Technology,Petroleum Engineering & Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Rubber & Plastic Technology Engineering,Rubber & Plastic Technology Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Surface Coating Technology,Surface Coating Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Engineering Design,Engineering Design,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) BioMedical Instrumentation,BioMedical Instrumentation,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Food Science ,Food Science,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Printing Graphics & Packaging,Printing Graphics & Packaging,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Applied Electronics & Engineering,Applied Electronics & Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Carpet & Textile Technology,Carpet & Textile Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Print & Media Technology,Print & Media Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Soil & Water Conservation Engineering,Soil & Water Conservation Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Cloud Technology,Cloud Technology,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Environmental Engineering & Water Resources,Environmental Engineering & Water Resources,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Power Electronics,Power Electronics,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Medical Electronics,Medical Electronics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Polymer Technology,Polymer Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Chemical Science & Technology,Chemical Science & Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Upstream &Applied Petroleum Engineering,Upstream &Applied Petroleum Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Gas & Applied Petroleum Engineering,Gas & Applied Petroleum Engineering,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Open Source & Open Standards,Open Source & Open Standards,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Dyestuff & Intermediates Technology,Dyestuff & Intermediates Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Solar & Alternate Energy,Solar & Alternate Energy,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Fibers and Textiles Processing Technology,Fibers and Textiles Processing Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Pharmaceuticals Chemistry & Technology,Pharmaceuticals Chemistry & Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Food Technology & Biochemical Engineering,Food Technology & Biochemical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Computer & Information Science,Computer & Information Science,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Water Resources Engineering,Water Resources Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Oleo Chemicals & Surfactants Technology,Oleo Chemicals & Surfactants Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Enterprise Information Systems,Enterprise Information Systems,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Bioprocess Technology,Bioprocess Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Polymer Science & Chemical Technology,Polymer Science & Chemical Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Man Made Fiber Technology,Man Made Fiber Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Packaging technology,Packaging technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Applied Mechanics,Applied Mechanics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Nuclear Science & Engineering,Nuclear Science & Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics Control System Engg./Electronics,Electronics Control System Engg./Electronics,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) NanoTechnology,NanoTechnology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Apparel Production management,Apparel Production management,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Chemical & Electrochemical Engineering,Chemical & Electrochemical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial Design, Industrial Design,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Autotronics,Autotronics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Physical Sciences,Physical Sciences,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electrical Engineering Power & Automation,Electrical Engineering Power & Automation,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Biological Sciences & Bio Engineering,Biological Sciences & Bio Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Agri-Informatics,Agri-Informatics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Molecular & Cellular Engineering,Molecular & Cellular Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech)  Intelligent Systems,Intelligent Systems,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Optics & Optoelectronics,Optics & Optoelectronics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Professional Communication,Professional Communication,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial Microbiology,Industrial Microbiology,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Rubber Technology,Rubber Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Mobile Application & Information Security,Mobile Application & Information Security,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Space Technologyg,Space Technologyg,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Urban & Regional Planning,Urban & Regional Planning,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Bio-Technology Food Process Engineering,Bio-Technology Food Process Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Earth Science,Earth Science,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Telecom Informatics,Telecom Informatics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Sugar & Alcohol technology,Sugar & Alcohol technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Geo sciences Engineering,Geo sciences Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Atmospheric Sciences,Atmospheric Sciences,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) TV,TV,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Motor Sports Engineering,Motor Sports Engineering,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Mainframe technology,Mainframe technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics & Media Technology,Electronics & Media Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Fashion & Lifestyle Design,Fashion & Lifestyle Design,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Biologically Inspired System Science,Biologically Inspired System Science,Engineering,1,2,50,1,18
Bachelor of Science (B.Sc) Physics,Physics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc ) Chemistry,Chemistry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Computer Science,Computer Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Mathematics,Mathematics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc)  Zoology,Zoology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Botany,Botany,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Biotechnology,Biotechnology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) MicroBiology,MicroBiology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Information Technology,Information Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Chemistry,Hons. Chemistry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Mathematics,Hons. Mathematics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Physics,Hons. Physics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Statistics,Statistics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Electronics,Electronics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons.Zoology,Hons.Zoology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Botany,Hons. Botany,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Biochemistry,Biochemistry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Computer Science,Hons. Computer Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Home Science,Home Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Geography,Geography,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Biology,Biology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Economics,Economics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Non-Medical,Non-Medical,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Geology,Geology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Psychology,Psychology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Economics,Hons. Economics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Biotechnology,Hons. Biotechnology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Medical,Medical,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Computer Applications,Computer Applications,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. MicroBiology,Hons. MicroBiology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) hons. Geography,hons. Geography,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Environmental Science,Environmental Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Optometry,Optometry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Visual Communication,Visual Communication,Bachelor of Science,2,2,50,1,18
 Bachelor of Science (B.Sc) Hons.Statistics,Hons.Statistics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Nutrition & Dietetics,Nutrition & Dietetics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Forensic Science,Forensic Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hotel Management,Hotel Management,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Industrial Chemistry,Industrial Chemistry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Data Science,Data Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Electronics,Hons. Electronics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Forestry,Forestry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Geology,Hons. Geology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Life Sciences, Life Sciences,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Physical Sciences,Physical Sciences,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Physiology,Physiology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Naturopathy & Yogic Science,Naturopathy & Yogic Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Bio-Informatics,Bio-Informatics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Electronics & Communication,Electronics & Communication,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. BioChemistry,Hons. BioChemistry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Anthropology,Anthropology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) food Technology,food Technology,Bachelor of Science,2,2,50,1,18
 Bachelor of Science (B.Sc)  Costume Design & Fashion,  Costume Design & Fashion,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) food Science And Nutrition,food Science And Nutrition,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc)  Fisheries Science,Fisheries Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Psychology,Hons. Psychology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Environmental Science, Hons. Environmental Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Genetics,Genetics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Textile Design,Textile Design,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Fashion Technology,Fashion Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hotel Management & Catering Technology,Hotel Management & Catering Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Nutrition , Nutrition ,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Nautical Science,Nautical Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Cardiovascular Technology,Cardiovascular Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Fashion & Apparel Design,Fashion & Apparel Design,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Anaesthesia Technology,Anaesthesia Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Plant Biology & Plant Biotechnology,Plant Biology & Plant Biotechnology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Home Science, Hons. Home Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Biological Science,Biological Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Medical RadioGraphy & Imaging Technology,Medical RadioGraphy & Imaging Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Physical Education,Physical Education,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) multimedia,multimedia,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Advanced Zoology & Biotechnology,Advanced Zoology & Biotechnology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. BioMedical Sciences,Hons. BioMedical Sciences,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Clinical Nutrition,Clinical Nutrition,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Aquaculture,Aquaculture,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Electronic Media,Electronic Media,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Instrumentation, Instrumentation,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Food Sciences,Food Sciences,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Audiology & Speech Language Pathology,Audiology & Speech Language Pathology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Physiotherapy,Physiotherapy,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Actuarial Science,Actuarial Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Fire Safety & Hazard Management,Fire Safety & Hazard Management,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Photography,Photography,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Airlines Tourism & Hospitality Management,Airlines Tourism & Hospitality Management,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Hons. Biological Science,Hons. Biological Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Aeronautical Science,Aeronautical Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Anatomy,Anatomy,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Finance,Finance,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Cardiac Perfusion,Cardiac Perfusion,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Renewable Energy,Renewable Energy,Bachelor of Science,2,2,50,1,18
 Bachelor of Science (B.Sc) Software Engineering,Software Engineering,Bachelor of Science,2,2,50,1,18
 Bachelor of Science (B.Sc)  Mass Communication,Mass Communication,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Airline Tourism & Hospitality Management,Airline Tourism & Hospitality Management,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied Nutrition,Applied Nutrition,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied Physics,Applied Physics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Fisheries ( Aquaculture),Fisheries ( Aquaculture),Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied chemistry,Applied chemistry,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied Mathematics,Applied Mathematics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Multimedia Technology,Multimedia Technology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Social Science,Social Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied Electronics,Applied Electronics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied Science,Applied Science,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Astrophysics,Astrophysics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Avionics,Avionics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) BioStatistics,BioStatistics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Ecology, Ecology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Environmental Science & Ecology,Environmental Science & Ecology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Gemology,Gemology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Account & Finance,Account & Finance,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Economics & Finance,Economics & Finance,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Computer Science Statistics,Computer Science Statistics,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Construction Management,Construction Management,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Accountancy,Accountancy,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Applied BioTechnology,Applied BioTechnology,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Aqualogy,Aqualogy,Bachelor of Science,2,2,50,1,18
Bachelor of Science (B.Sc) Beauty Cosmetology,Beauty Cosmetology,Bachelor of Science,2,2,50,1,18
"Bachelor of Medicine ,Bachelor of Surgery (MBBS)",Medicine,Medical,3,2,50,1,18
Bachelor of Physiotherapy (BPT),Physiotherapy,Medical,3,2,50,1,18
Diploma in Medical Loboratory Technology(DMLT),Laboratory,Medical,3,2,50,1,18
Bachelor of  Ayurvedic Medicine & Surgery (BAMS),Ayurveda,Medical,3,2,50,1,18
Bachelor of Homeopathic medicine & Surgery (BHMS),Homeopathi,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Operation Theatre Technology,operation,Medical,3,2,50,1,18
Diploma in Physiothepary (DPT),Physiothepary,Medical,3,2,50,1,18
Bachelor of Occupational Therapy (BOT),Occupational Therapy,Medical,3,2,50,1,18
Diploma in Medical Radio Diagnosis(DMRD), Medical Radio Diagnosis,Medical,3,2,50,1,18
Bachelor in Auidology & Speech- Language Pathology (BASLP),Auidology & Speech- Language Pathology ,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Medical Imaging Technology,Medical Imaging Technology,Medical,3,2,50,1,18
Diploma in Clinical Pathology (DP),Clinical Pathology,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Dialysis, Dialysis,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Perfusion Technology,Perfusion Technology,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Renal Dialysis Technology,Renal Dialysis Technology,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Hons. Physiology, Hons. Physiology,Medical,3,2,50,1,18
Diploma in X-Ray Technology,X-Ray,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Industrial Mircobiology,Industrial Mircobiology,Medical,3,2,50,1,18
Diploma in Otorhinolaryngology (DLO),Otorhinolaryngology,Medical,3,2,50,1,18
Diploma in Anaesthesia (DA), Anaesthesia,Medical,3,2,50,1,18
Diploma in Nursing,Nursing,Medical,3,2,50,1,18
Diploma in Operation Theatre Techniques,Operation Theatre Techniques,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Respiratory Therapy,Respiratory Therapy,Medical,3,2,50,1,18
Diploma in Dialysis Techniques,Dialysis Techniques,Medical,3,2,50,1,18
Bachelor of Unami Medicine & Surgery, Unami Medicine & Surgery,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) RadioGraphy,RadioGraphy,Medical,3,2,50,1,18
Diploma in RadioGraphy, RadioGraphy,Medical,3,2,50,1,18
Diploma in Radiology Therapy (DMRT), Radiology Therapy ,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Imaging Technology Radiography, Imaging Technology Radiography,Medical,3,2,50,1,18
Diploma in Occupational Therapy, Occupational Therapy,Medical,3,2,50,1,18
Bachelor of Science (B.Sc) Audiology, Audiology,Medical,3,2,50,1,18
Diploma in Fashion Design,Fashion Design,Design,4,2,50,1,18
Diploma in Interior Design,Interior Design,Design,4,2,50,1,18
Bachelor of Science (B.Sc) Fashion Design,Fashion Design,Design,4,2,50,1,18
Bachelor of design (B.DES) Fashion Design,Fashion Design,Design,4,2,50,1,18
Bachelor of Science (B.Sc) Interior Design,Interior Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) interior design,Interior Design,Design,4,2,50,1,18
Advanced Diploma in Fashion Design,Fashion Design,Design,4,2,50,1,18
Advanced Diploma in Interior Design,Interior Design,Design,4,2,50,1,18
Diploma in Textile Design,Textile design,Design,4,2,50,1,18
Bachelor of Arts (BA) Fashion Design,Fashion Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Textile Design,Textile design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Product Design,Product Design,Design,4,2,50,1,18
Diploma in Jewellery Design,jewellery Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Communication Design,Communication Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Fashion Communication,Fashion Communication,Design,4,2,50,1,18
Bachelor of Fashion Design,Fashion Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Graphic Design,Graphic Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Industrial Design,Industrial Design,Design,4,2,50,1,18
Bachelor of Design (B.DES) Accessory Design,Accessory Design,Design,4,2,50,1,18
Bachelor of fashion & Apparel Design (B.FAD),Apparel Design,Design,4,2,50,1,18
Bachelor in Fashion Technology,Fashion Technology,Design,4,2,50,1,18
Bachelor of Design (B.DES) Knitwear Design,Knitwear Design,Design,4,2,50,1,18
Diploma in Animation & Multimedia,Annimation & Multimedia,Design,4,2,50,1,18
Bachelor of Design (B.DES) Jewellery Design,jewellery Design,Design,4,2,50,1,18
Bachelor of Science (B.Sc) Agriculture,Agriculture,Agriculture,5,2,50,1,18
Bachelor of Science (B.Sc) Hons. Agriculture,Hons.Agriculture,Agriculture,5,2,50,1,18
Diploma in Agriculture,Agriculture,Agriculture,5,2,50,1,18
Bachelor of Science (B.Sc) Horticulture Science,Horticulture Science,Agriculture,5,2,50,1,18
Diploma in Horticulture,Horticulture ,Agriculture,5,2,50,1,18
Diploma in Animal Husbandry,Animal Husbandry,Agriculture,5,2,50,1,18
Bachelor of Science (B.Sc) Fisheries, Fisheries,Agriculture,5,2,50,1,18
